Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwanda,Percent,28.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwanda,Percent,30.4
